r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
2,0,31,"[0.33, 0.06, None, 0.43]","[0.69, 0.44, None, 0.52]",0.43,0.44,False,,,,,
2,0,32,"[0.33, 0.34, 0.44, 0.43]","[0.69, 0.68, 0.43, 0.52]",,,True,0.43,0.15,0.11,B2,S2
2,0,33,"[0.33, 0.56, None, 0.43]","[0.69, 0.5, None, 0.52]",,,True,0.53,0.04,0.1,B1,S1
2,0,34,"[0.33, 0.47, None, 0.43]","[0.69, 0.75, None, 0.52]",0.47,0.52,False,,,,,
2,0,35,"[0.33, 0.24, 0.01, 0.43]","[0.69, 0.82, 0.47, 0.52]",,,True,0.47,0.08,0.07,B1,S2
2,0,36,"[0.33, 0.14, None, 0.43]","[0.69, 0.63, None, 0.52]",0.43,0.52,False,,,,,
2,0,37,"[0.33, 0.19, 0.01, 0.43]","[0.69, 0.47, 0.99, 0.52]",0.43,0.47,False,,,,,
2,0,38,"[0.33, 0.22, 0.47, 0.43]","[0.69, 0.55, 0.99, 0.52]",,,True,0.47,0.05,0.02,B2,S1
2,0,39,"[0.33, 0.42, None, 0.43]","[0.69, 0.96, None, 0.52]",0.43,0.52,False,,,,,
2,0,40,"[0.33, 0.25, 0.01, 0.43]","[0.69, 0.88, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,41,"[0.33, 0.01, 0.01, 0.43]","[0.69, 0.61, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,42,"[0.33, 0.04, 0.01, 0.43]","[0.69, 0.99, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,43,"[0.33, 0.31, 0.01, 0.43]","[0.69, 0.87, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,44,"[0.33, 0.19, 0.01, 0.43]","[0.69, 0.72, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,45,"[0.33, 0.38, 0.01, 0.43]","[0.69, 0.88, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,46,"[0.33, 0.26, 0.01, 0.43]","[0.69, 0.86, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,47,"[0.33, 0.33, 0.01, 0.43]","[0.69, 0.79, 0.99, 0.52]",0.43,0.52,False,,,,,
2,0,48,"[0.33, 0.13, 0.52, 0.43]","[0.69, 0.95, 0.43, 0.52]",0.52,0.43,False,,,,,
2,0,49,"[0.33, 0.14, 0.43, 0.43]","[0.69, 0.72, 0.52, 0.52]",0.52,0.43,False,,,,,
3,0,0,"[0.0, 0.2, None, 0.98]","[1.0, 0.58, None, 0.1]",,,True,0.54,0.44,0.44,B3,S3
3,0,1,"[0.1, 0.03, None, 0.86]","[0.9, 0.9, None, 0.1]",,,True,0.48,0.38,0.38,B3,S3
3,0,2,"[0.19, 0.44, None, 0.77]","[0.81, 0.24, None, 0.25]",,,True,0.5,0.26,0.44,B3,S1
3,0,3,"[0.29, 0.42, None, 0.71]","[0.71, 0.87, None, 0.25]",,,True,0.48,0.23,0.23,B3,S3
3,0,4,"[0.38, 0.59, None, 0.71]","[0.62, 0.29, None, 0.28]",,,True,0.5,0.21,0.21,B3,S3
3,0,5,"[0.48, 0.58, None, 0.62]","[0.52, 0.73, None, 0.3]",,,True,0.46,0.16,0.16,B3,S3
3,0,6,"[0.57, 0.3, None, 0.61]","[0.43, 0.43, None, 0.37]",,,True,0.49,0.12,0.12,B3,S3
3,0,7,"[0.67, 0.02, None, 0.46]","[0.33, 0.96, None, 0.52]",,,True,0.5,0.45,0.45,B0,S0
3,0,8,"[0.74, 0.31, None, 0.46]","[0.3, 0.73, None, 0.52]",,,True,0.52,0.41,0.4,B0,S0
