r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
3,0,36,"[0.24, 0.28, 0.01, 0.35]","[0.49, 0.63, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,37,"[0.24, 0.21, 0.01, 0.35]","[0.49, 0.76, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,38,"[0.24, 0.16, 0.01, 0.35]","[0.49, 0.88, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,39,"[0.24, 0.22, 0.01, 0.35]","[0.49, 0.93, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,40,"[0.24, 0.22, 0.01, 0.35]","[0.49, 0.52, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,41,"[0.24, 0.25, 0.01, 0.35]","[0.49, 0.77, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,42,"[0.24, 0.17, 0.01, 0.35]","[0.49, 0.49, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,43,"[0.24, 0.28, 0.01, 0.35]","[0.49, 0.76, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,44,"[0.24, 0.25, 0.01, 0.35]","[0.49, 0.86, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,45,"[0.24, 0.35, 0.01, 0.35]","[0.49, 0.56, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,46,"[0.24, 0.07, 0.01, 0.35]","[0.49, 1.0, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,47,"[0.24, 0.25, 0.01, 0.35]","[0.49, 0.93, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,48,"[0.24, 0.28, 0.49, 0.35]","[0.49, 0.89, 0.35, 0.66]",,,True,0.42,0.08,0.09,B2,S2
3,0,49,"[0.24, 0.12, None, 0.35]","[0.49, 0.69, None, 0.66]",0.35,0.49,False,,,,,
4,0,0,"[0.0, 0.71, None, 0.95]","[1.0, 0.29, None, 0.06]",,,True,0.51,0.45,0.45,B3,S3
4,0,1,"[0.09, 0.6, None, 0.91]","[0.9, 0.91, None, 0.08]",,,True,0.5,0.42,0.42,B3,S3
4,0,2,"[0.19, 0.21, None, 0.87]","[0.8, 0.93, None, 0.26]",,,True,0.56,0.3,0.3,B3,S3
4,0,3,"[0.28, 0.38, None, 0.66]","[0.7, 0.6, None, 0.3]",,,True,0.48,0.18,0.18,B3,S3
4,0,4,"[0.38, 0.63, None, 0.35]","[0.6, 0.67, None, 0.38]",,,True,0.51,0.34,0.13,B1,S3
